holding_id,filed_by,official_flight_id,filed_by_in_catalog,filed_by_in_collection,location,special_location,scale_1,scale_2,scale_3,index_type,index_scale,index_filed_under,begin_date,end_date,size,height,width,vertical,oblique_high,oblique_low,overlap,sidelap,filmtype,bw,bw_IR,color,color_IR,spectral_range,printt,pos_trans,negative,digital,o_p_d,black and white,Color,cut Frame,roll,print,acquired_digital,positive,negative,spectral description,extra,roll,cut_frame,filter,generation_held,camera,lens_focal_length,platform_id,directional_orientation,altitude_a,altitude_b,altitude_c,contractor_requestor,flown_by,acquired_from,note,copyright,access_limitations,area_general,counties,index_digital,frames_scanned,estimated_frame_count,ready_ref,prod_test,last_update
502000,1MFUSGS000S01,1MFUSGS000S01,1MFUSGS000S01,1MFUSGS000S01,4,Cut Frame (Vault),NULL,NULL,NULL,none,NULL,NULL,1980-04-10,1980-06-04,frames 16mm,NULL,NULL,0,1,1,0%,NULL,NULL,1,0,0,0,400-700nm,0,1,0,0,Positive Transparency; Black & White,Black & White,,,,,,Positive Transparency,,,,1,0,NULL,3rd generation,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Unknown,US Geological Survey,Eros Data Center,Obliques of Mount Saint Helens.  16mm roll film filed with 1MFUSGS000S2 in folder along with cut-frames.,NULL,NULL,Skamania County (Washington),Skamania;,0,0,NULL,no,prod,2012-04-05 16:48:51
502001,311RW-M542-16PS,311RW M542 16PS,311RW M542 16PS,311RW M542 16PS,4,Cut Frame (Vault),5064,NULL,NULL,none,NULL,NULL,1946-01-17,1946-01-17,frames 9 x 9 inches,9,9,1,0,0,0%,NULL,NULL,1,0,0,0,NULL,0,0,1,0,Negative Transparency; Black & White,Black & White,,,,,,,Negative Transparency,,,0,1,NULL,NULL,NULL,NULL,NULL,East-West,NULL,NULL,NULL,NULL,"Unites States Army Air Forces Base Unit, 311th Reconnaissance Wing (311RW)",NULL,Ellwood Pier.,Reproduction rights held by the Regents of the University of California.,NULL,Santa Barbara County (California),Santa Barbara;,0,0,2,no,prod,2011-07-22 15:21:02
502002,72-060-00281,"72-060, accession  00281",72-060 acc. 00281,"72-060, acc. 00281",4,Cut Frame (Vault),120000,NULL,NULL,NASA-FSR,NULL,NULL,1972-04-14,1972-04-14,frames 9 x 9 inches,9,9,0,1,0,NULL,NULL,2443,0,0,0,1,NULL,0,1,0,0,Positive Transparency; Cut Frame; Color Infrared,,,Cut Frame,,,,Positive Transparency,,,,0,1,NULL,3rd generation,"HC-730, # 7",6 inches (152.4mm),U-2,NULL,65000,NULL,NULL,California Coast Contingency,NASA - Ames,Eros Data Center,California Coast. Some static streaking on imagery. Only a few stereo pairs.,Reproduction rights held by the Regents of the University of California.,NULL,California - Regions,San Diego; Orange; Los Angeles; Ventura; Santa Barbara; San Luis Obispo; Monterey; Santa Cruz; San Mateo; San Francisco,1,0,NULL,no,prod,2012-08-06 11:33:02
502003,72-075-00335,"72-075, acc. 00335",72-075 acc. 00335,"72-075, acc. 00335",5,Roll Film Collection,448276,NULL,NULL,NASA-FSR,2000000,NULL,1972-05-10,1972-05-10,frames 70mm,NULL,NULL,1,0,0,60%,10%,2424,0,0,0,1,690-760nm,0,1,0,0,Positive Transparency; Color-infrared,,,,,,,Positive Transparency,,Color-infrared,,1,0,NULL,3rd generation,Vinten # 3,1.75 in.,NASA U-2 #4,NULL,65000,NULL,NULL,RC-10 Camera Test,NASA - Ames,UCSB/GRSU,Received: 19810401.,Public Domain,NULL,California - Regions,Santa Barbara; San Luis Obispo; Monterey; Santa Cruz;,1,0,NULL,no,prod,2017-01-04 08:31:43
502004,72-110-00492,"72-110, accession 00492",72-110 acc. 00492,"72-110, acc. 00492",4,Cut Frame (Vault),130000,NULL,NULL,NASA-FSR,2000000,NULL,1972-07-05,1972-07-05,frames 9 x 9 inches,9,9,1,0,0,60%,NULL,2443,0,0,0,1,510-900nm,0,1,0,0,Positive Transparency; Cut Frame; Color Infrared,,,Cut Frame,,,,Positive Transparency,,,,0,1,NULL,3rd generation,"RC-10,  # 17",6 inches (152.4mm),ER-2 #4,Northwest-Southeast,65000,NULL,NULL,Unknown,NASA - Ames,"UCB, Colwell Collection",MIL holds only partial flight coverage.,Reproduction rights held by the Regents of the University of California.,NULL,California - Regions,Marin; Sonoma; Napa;,1,0,NULL,no,prod,2017-01-06 15:37:39
502005,72-112-00496,"72-112, acc. 00496",72-112 acc. 00496,"72-112, acc. 00496",5,Roll Film Collection,400000,NULL,NULL,NASA-FSR,200000,NULL,1972-07-11,1972-07-11,frames 70mm,NULL,NULL,1,0,0,60%,NULL,2424,0,1,0,0,690-760nm,0,1,0,0,Positive Transparency; Black & White-infrared,,,,,,,Positive Transparency,,Black & White-infrared,,1,0,NULL,3rd generation,Vinten # 13,1.75 in.,U-2 Aircraft #4,NULL,65000,NULL,NULL,Unknown,NASA - Ames,Eros Data Center,"Coastal fog near islands. Earth Resources Aircraft Project. Purpose of the flight ws ERTS-A Aircraft Support. Greenwich Mean Time clocks. First of 2 flights on this roll: 2nd flight is 72-189, accession #00782.",Public Domain,NULL,California - Regions,San Diego; Orange; Los Angeles; Ventura; Santa Barbara; Riverside; San Bernadino; Kern;,1,0,NULL,no,prod,2012-08-06 11:33:02
502006,72-112-00497,"72-112, acc. 00497",72-112 acc. 00497,"73-142, acc. 01391",5,NULL,400000,NULL,NULL,NASA-FSR,NULL,NULL,1972-07-11,1972-07-11,frames 70mm,NULL,NULL,1,0,0,60%,NULL,2443,0,0,0,1,510-900nm,0,1,0,0,Positive Transparency; Color-infrared,,,,,,,Positive Transparency,,Color-infrared,,1,0,NULL,3rd generation,Vinten # 13,1.75 in.,U-2 Aircraft #4,NULL,65000,NULL,NULL,Unknown,NASA - Ames,Eros Data Center,Condition: Good to Excellent; coastal fog near islands.,Public Domain,NULL,California - Regions,San Diego; Orange; Los Angeles; Ventura; Santa Barbara; Riverside; San Bernadino; Kern;,1,0,NULL,no,prod,2012-08-06 11:33:02
502007,72-112-00498,"72-112, accession 00498",72-112 acc. 00498,"72-112, acc. 00498",4,Cut Frame (Vault),131500,NULL,NULL,NASA-FSR,2000000,NULL,1972-07-11,1972-07-11,frames 9 x 9 inches,9,9,1,0,0,60%,NULL,2443,0,0,0,1,510-900nm,1,1,0,0,Positive Print; Cut Frame; Positive Transparency; Color Infrared,,,Cut Frame,,Positive Print,,Positive Transparency,,Color Infrared,,0,1,NULL,3rd generation,"RC-10, metric",153.30mm,U-2 Aircraft #4,NULL,65000,NULL,NULL,Unknown,NASA - Ames,Eros Data Center,Coastal fog near islands.,Public Domain,NULL,California - Regions,San Diego; Orange; Los Angeles; Ventura; Santa Barbara; Riverside; San Bernadino; Kern;,1,0,NULL,no,prod,2011-07-22 15:21:02
502008,72-127-00565,"72-127, acc. 00565",72-127 acc. 00565,"72-127, acc. 00565",5,Roll Film Collection,130000,NULL,NULL,NASA-FSR,2000000,NULL,1972-07-27,1972-07-27,frames 9 x 9 inches,9,9,1,0,0,60%,NULL,2443,0,0,0,1,510-900nm,0,1,0,0,Positive Transparency; Color-infrared,,,,,,,Positive Transparency,,Color-infrared,,1,0,NULL,3rd generation,"RC-10,  # 17",6 in. (152.4mm),ER-2 #5,Various,65000,NULL,NULL,Unknown,NASA - Ames,"UCB, Colwell Collection",MIL has incomplete holdings for this flight.,Public Domain,NULL,California - Regions,Madera; Mariposa; Tuolumne; Mono; Fresno; Santa Clara; San Mateo; Alameda; Contra Costa; San Francisco,1,0,NULL,no,prod,2017-01-06 15:37:39
502009,72-131-00576,"72-131, acc. 00576",72-131 acc. 00576,"72-131, acc. 00576",5,Roll Film Collection,130000,90000,50000,NASA-FSR,NULL,NULL,1972-08-02,1972-08-02,frames 9 x 9 inches,9,9,1,0,0,60%,10%,2443,0,0,0,1,510-900nm,0,1,0,0,Positive Transparency; Color-infrared,,,,,,,Positive Transparency,,Color-infrared,,1,0,NULL,3rd generation,"HC-730V, # 6",6 in. (152.4mm),NASA U-2 #4,NULL,65000,45000,25000,Fire Assessment,NASA - Ames,UCSB/GRSU,Received 19810401.,Public Domain,NULL,Monterey County (California),Monterey;,1,0,NULL,no,prod,2017-01-06 15:37:39
