response_set_id,parent_response_set_id,date_time,page,user,branch,desk,library,Contact Type,Contact Type (text),Question Type,Question Type (text),Reference   Research Type,Reference   Research Type (text),Time Spent in minutes,Comment,Reference   Research Type 2,Reference   Research Type 2 (text),Reference   Research Type 3,Reference   Research Type 3 (text),Reference   Research Type 4,Reference   Research Type 4 (text)
"51530","","2017-01-03 08:02:32","Interdisciplinary Researc","RefBuddy","Interdisciplinary Research Collaboratory","Interdisciplinary Research Collaboratory Desk","University of California, Santa Barbara","Personal Email","","Reference / Research Assistance","","Statistics","","75","","","","","","",""
"51800","","2017-01-09 14:57:27","Interdisciplinary Researc","RefBuddy","Interdisciplinary Research Collaboratory","Interdisciplinary Research Collaboratory Desk","University of California, Santa Barbara","In Person","","Reference / Research Assistance","","Software help","","10","Stata","Statistics","","","","",""
"51801","","2017-01-09 14:57:47","Interdisciplinary Researc","RefBuddy","Interdisciplinary Research Collaboratory","Interdisciplinary Research Collaboratory Desk","University of California, Santa Barbara","In Person","","Directional / Informational","","Spatial","","30","Channel Islands airphotos","","","","","",""
"52089","","2017-01-11 14:17:19","Interdisciplinary Researc","RefBuddy","Interdisciplinary Research Collaboratory","Interdisciplinary Research Collaboratory Desk","University of California, Santa Barbara","In Person","","Reference / Research Assistance","","Software help","","15","","Other","directed graphs","","","",""
"52209","","2017-01-12 15:23:41","Interdisciplinary Researc","RefBuddy","Interdisciplinary Research Collaboratory","Interdisciplinary Research Collaboratory Desk","University of California, Santa Barbara","In Person","","Directional / Informational","","","","","","","","","","",""
"52240","","2017-01-12 18:51:06","Interdisciplinary Researc","RefBuddy","Interdisciplinary Research Collaboratory","Interdisciplinary Research Collaboratory Desk","University of California, Santa Barbara","In Person","","Reference / Research Assistance","","Software help","","","","","","","","",""
"52335","","2017-01-13 15:06:25","Interdisciplinary Researc","RefBuddy","Interdisciplinary Research Collaboratory","Interdisciplinary Research Collaboratory Desk","University of California, Santa Barbara","Personal Email","","Reference / Research Assistance","","Software help","","10","","Spatial","","","","",""
"52336","","2017-01-13 15:07:19","Interdisciplinary Researc","RefBuddy","Interdisciplinary Research Collaboratory","Interdisciplinary Research Collaboratory Desk","University of California, Santa Barbara","In Person","","Reference / Research Assistance","","Spatial","","90","extended conversation regarding contributing to a community driven (or possibly UCSB adminsitrative) uberdatabase of information about Isla Vista properties and land development.","","","","","",""
"52337","","2017-01-13 15:07:33","Interdisciplinary Researc","RefBuddy","Interdisciplinary Research Collaboratory","Interdisciplinary Research Collaboratory Desk","University of California, Santa Barbara","Personal Email","","Reference / Research Assistance","","Spatial","","5","Lidar","","","","","",""
"52346","","2017-01-13 15:39:04","Interdisciplinary Researc","RefBuddy","Interdisciplinary Research Collaboratory","Interdisciplinary Research Collaboratory Desk","University of California, Santa Barbara","In Person","","Directional / Informational","","","","","","","","","","",""
"52351","","2017-01-13 16:01:00","Interdisciplinary Researc","RefBuddy","Interdisciplinary Research Collaboratory","Interdisciplinary Research Collaboratory Desk","University of California, Santa Barbara","In Person","","Reference / Research Assistance","","Content","","60","","","","","","",""
"52627","","2017-01-17 18:28:05","Interdisciplinary Researc","RefBuddy","Interdisciplinary Research Collaboratory","Interdisciplinary Research Collaboratory Desk","University of California, Santa Barbara","In Person","","Reference / Research Assistance","","Content","","15","","Referred to Subject Librarian","","","","",""
